Designator,Footprint,Quantity,Value,LCSC Part #
"C1,C6",0402,2,1uF,C1523
"C2,C3,C4,C9",0402,4,100nF,C1525
C5,0402,1,10uF,C15525
"C7,C8",0402,2,15pF,C1547
D1,0402,1,LED,C2290
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C165948
"R1,R2",0402,2,5.1k,C25905
R3,0402,1,470,C25130
"R4,R5",0402,2,4.7k,C25867
R6,0402,1,10k,C25804
"R7,R8",0402,2,27,C23154
R9,0402,1,1k,C21190
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,BOOTSEC,C318884
SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RESET,C318884
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ATECC608A-SSHDA,C148118
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,12MHz,C9005
