Designator,Mid X,Mid Y,Rotation,Layer
C1,122.0,-121.0,90.0,top
C2,121.0,-121.0,90.0,top
C3,123.0,-121.0,90.0,top
C4,117.0,-112.5,0.0,top
C5,117.0,-111.5,0.0,top
C6,117.02,-113.5,0.0,top
C7,131.52,-120.0,180.0,top
C8,127.0,-126.0,90.0,top
C9,132.0,-130.98,90.0,top
D1,117.02,-116.0,180.0,top
J1,124.5,-103.5,180.0,top
R1,126.5,-109.0,0.0,top
R2,117.015,-109.0,180.0,top
R3,117.015,-115.0,180.0,top
R4,119.5,-117.5,270.0,top
R5,116.5,-131.015,270.0,top
R6,125.0,-126.0,90.0,top
R7,118.985,-110.5,0.0,top
R8,128.5,-109.0,180.0,top
R9,130.5,-121.0,180.0,top
SW1,121.125,-129.0,0.0,top
SW2,121.125,-124.0,0.0,top
U1,119.5,-135.5,90.0,top
U2,124.5625,-114.4,90.0,top
U3,128.5,-135.5,270.0,top
Y1,130.0,-123.5,0.0,top
